bsf: 1.25
act: 46830


runBB: 0.35
run1B: 0.52
run2B: 0.82
run3B: 1.11
runHR: 1.42
rnBIP: -0.07

runs-: 0.29
runs+: 0.59
wobas: 1.14

wobaBB: 0.72
woba1B: 0.91
woba2B: 1.26
woba3B: 1.59
wobaHR: 1.94

  |   H%  |  XB%  |  HR%  |  BB%  |   K%  |  wOBA |
3B Smith, R        27|  97/ 97     105/ 96   4/  5 | 107 ( 97) | -3-6---- |  - | IF,H          |      $500k r |  $2.87M |    p1251 | Toronto Blue Jays    | *^
2B Good, G         23|  77/ 96/ 95  80/ 76 -16/  3 | 106 ( 96) | -26----- | -+ | IF,H          | F5           |         |    p2905 | Toronto Blue Jays    | ++++
CF Tamura, M       24|  95/ 96      97/ 94   2/  2 | 106 ( 96) | -3---399 |  + | CF,OF,H       |  7           |  $1.77M |    p2855 | Toronto Blue Jays    | ++++
 C McMartin, J     24|  72/ 88/ 87  65/ 74  -7/  8 | 104 ( 95) | 4------- | ++ | C,H           |              |         |    p3013 | Toronto Blue Jays    | +++
 C Saver, B        26|  83/ 87      90/ 82   4/  8 | 102 ( 93) | 31---2-- |  + | C,OF,H        |      $500k r |  $2.87M |    p2768 | Toronto Blue Jays    | *
SS Bannon, R       26|  86/ 93      91/ 85  -7/  1 | 100 ( 91) | -3898--- |    | SS,IF,H       |              |         | 2B p1720 | Toronto Blue Jays    | *
CF Allen, G        27|  93/ 93     100/ 92   0/ -1 | 100 ( 91) | -2---546 |  + | CF,OF,H       |      $500k r | $673.2k | RF p2793 | Toronto Blue Jays    | *
CF Demarest, G     33|  96/ 96      98/ 96   3/  2 | 100 ( 91) | -7---988 |  + | CF,OF,H       |     $1.44M a |  $2.32M | LF p1007 | Toronto Blue Jays    | **^
CF Vega, B         25|  86/ 92      92/ 85  -7/ -2 |  99 ( 90) | -2---878 |  + | CF,OF,H       |              |         | LF p2971 | Toronto Blue Jays    | +++-
 C Quimby, F       23|  72/ 84      76/ 71  -7/  5 |  98 ( 89) | 41------ |  + | C,H           |              |         |    p3421 | Toronto Blue Jays    | ++-
3B Sandoval, I     20|  74/ 87      75/ 73 -19/ -5 |  97 ( 88) | -377-5-- | -  | IF,OF,H       |              |         | LF p3296 | Toronto Blue Jays    | ++-
1B Soto, D         22|  85/ 88      91/ 84  -8/ -6 |  97 ( 88) | -3------ |    | H             |              |         |    p2621 | Toronto Blue Jays    | ++-
2B Arguello, J     23|  75/ 88      70/ 76 -18/ -4 |  97 ( 88) | -37----- |  + | IF,H          |  T           |         |     p138 | Toronto Blue Jays    | +++-
LF Caceres, O      23|  73/ 89/ 88  72/ 73 -20/ -6 |  97 ( 88) | -2---3-2 |  + | OF,H          |              |         |    p3206 | Toronto Blue Jays    | ++
SP Sands, C        23|  83/ 88      91/ 80 -20/ -6 |  97 ( 88) |          |  + | SP,P          | F6           |         |    p1964 | Toronto Blue Jays    | ++++
MR Reyes, G        26|  80/ 87      92/ 92 -10/  5 |  97 ( 88) |          |  - | MR,P          |              |         |     p265 | Toronto Blue Jays    | *****
CF Martinez, A     27|  91/ 91      86/ 92  -2/ -3 |  97 ( 88) | -7---888 | ++ | CF,OF,H       |      $500k r |         | RF p2344 | Toronto Blue Jays    | *^
3B Geil, L         24|  77/ 89      80/ 77 -16/ -3 |  96 ( 87) | -3-5---- | -+ | IF,H          |  8           |         |     p496 | Toronto Blue Jays    | +++-
2B Ojeda, B        22|  66/ 86/ 85  68/ 65 -27/ -7 |  95 ( 86) | -24----- |  + | IF,H          |              |         |    p2625 | Toronto Blue Jays    | ++-
1B Mallett, B      25|  86/ 87      71/ 88  -7/ -7 |  95 ( 86) | -3------ | ++ | H             |              |         |     p638 | Toronto Blue Jays    | +-
SP Gonzales, P     26|  80/ 87      81/ 80 -23/ -7 |  95 ( 86) |          | ++ | SP,P          |              |         |    p2599 | Toronto Blue Jays    | *
2B Francis, F      28|  91/ 91      93/ 91  -2/ -1 |  95 ( 86) | -26----- | -+ | IF,H          |      $500k r |         |    p2861 | Toronto Blue Jays    | *
2B Kelty, L        22|  69/ 85/ 84  71/ 69 -24/ -8 |  94 ( 86) | -254---- |  + | IF,H          |              |         | 3B p1397 | Toronto Blue Jays    | ++-
SS Engler, M       23|  71/ 86      65/ 72 -22/ -6 |  93 ( 85) | -3675--- |  - | SS,IF,H       |              |         |      p85 | Toronto Blue Jays    | ++
3B Boyer, B        31|  91/ 91      94/ 91  -2/ -1 |  93 ( 85) | -347---- |  + | IF,H          |      $500k r |         |    p1556 | Toronto Blue Jays    | *^
SS Simmons, A      36|  97/ 88      98/ 96   4/ -4 |  93 ( 85) | -44TT--- |  + | SS,IF,H       | F   $4.51M   |  $2.87M |    p3794 | Toronto Blue Jays    | **^
3B Suarez, M       18|  66/ 78      64/ 66 -27/-14 |  91 ( 83) | -3-7---- |    | IF,H          |              |         |    p2896 | Toronto Blue Jays    | ++
1B Swenson, T      24|  81/ 85      84/ 81 -12/ -9 |  91 ( 83) | -1------ |  - | H             |              |         |    p1657 | Toronto Blue Jays    | ++-
RF Rodriguez, W    26|  80/ 87      82/ 80 -13/ -7 |  91 ( 83) | -4-----2 | -- | OF,H          |              |         | 1B p2502 | Toronto Blue Jays    | ***
SP Randazzo, W     18|  49/ 81/ 76  52/ 48 -54/-18 |  90 ( 82) |          |  + | SP,P          |              |         |     p696 | Toronto Blue Jays    | +++
CF Henricks, W     21|  65/ 80/ 79  62/ 66 -28/-15 |  90 ( 82) | -2---254 |  + | CF,OF,H       |              |         |    p1350 | Toronto Blue Jays    | ++
CF Lapinski, M     22|  69/ 83      70/ 69 -24/-11 |  90 ( 82) | -3---383 | -- | CF,OF,H       |              |         |    p2908 | Toronto Blue Jays    | ++-
1B Dammann, J      20|  56/ 79/ 77  59/ 56 -37/-17 |  88 ( 80) | -2------ |    | H             |              |         |    p1012 | Toronto Blue Jays    | ++-

**Chicago (A) W...** |     OVR      vL/vR   vRpl   |           |          | XC | 
1B Thom, O         29| 114/114     115/114  21/ 20 | 140 (127) | -2------ |  + | H             |     $2.04M a | $12.21M |    p2691 | Chicago (A) White... | **^
SP Cabrera, M      32| 116/116     125/113  13/ 22 | 140 (127) |          |  + | SP,P          |       $15Mx4 |  $7.81M |    p4551 | Chicago (A) White... | **^
SP Kaminsky, R     31| 111/111     106/113   8/ 17 | 129 (117) |          |  - | SP,P          |       $16Mx2 |  $5.07M |    p4401 | Chicago (A) White... | **^
 C Boulware, G     33| 103/103     106/102  24/ 24 | 128 (116) | 53-5---4 |  + | C,IF,OF,H     |      $1.5Mx2 | $13.85M |    p3847 | Chicago (A) White... | **^
CF Harris Jr., J   32| 106/106      99/107  13/ 12 | 121 (110) | -2---889 |  + | CF,OF,H       |        $5Mx2 |  $7.81M | LF p3924 | Chicago (A) White... | **^
SP Shipley, B      34| 108/107     112/106   5/ 13 | 120 (109) |          |  + | SP,P          | F    $2.2M   |  $3.42M |    p4378 | Chicago (A) White... | **^
3B Sweeney, K      34| 107/106      96/109  14/ 14 | 120 (109) | -868---- | -+ | IF,H          |     $4.55Mx3 |  $8.36M |    p1687 | Chicago (A) White... | **^
1B Benitez, M      21|  92/101      96/ 91  -1/  7 | 118 (107) | -4------ |    | H             |  1           | $673.2k |    p1127 | Chicago (A) White... | +++++
 C Brafford, H     25|  92/ 93      93/ 92  13/ 14 | 113 (103) | 75------ | -+ | C,H           |    $635.7k a |  $7.81M |     p356 | Chicago (A) White... | **
CF Milburn, W      21|  67/101/ 97  71/ 66 -26/  3 | 110 (100) | -3---494 | -+ | CF,OF,H       |  2           |         |    p2813 | Chicago (A) White... | +++++
 C Bolaños, O      28|  91/ 91      92/ 90  12/ 12 | 109 ( 99) | 4------- |  + | C,H           |      $500k r |  $7.26M |     p605 | Chicago (A) White... | *^
CF Smith, M        32|  99/ 99      96/ 99   6/  5 | 107 ( 97) | -2---676 |  + | CF,OF,H       | F      $5M   |  $3.97M | LF p4165 | Chicago (A) White... | **^
SS Franklin, N     35| 102/ 98     103/101   9/  6 | 105 ( 96) | -49-9--- | -- | SS,IF,H       |        $5Mx2 |  $5.62M |     p889 | Chicago (A) White... | **^
SP Bridwell, P     34| 100/ 99     110/ 96  -3/  5 | 104 ( 95) |          |  + | SP,P          | F    $4.5M   |         |    p3299 | Chicago (A) White... | *^
2B Panik, J        35| 101/ 97     109/100   8/  5 | 104 ( 95) | -876---- |  - | IF,H          | F    $1.8M   |  $5.07M | 3B p3884 | Chicago (A) White... | **^
LF Rist, E         19|  66/ 93/ 91  60/ 67 -27/ -3 | 102 ( 93) | -2---7-2 |  - | OF,H          |  9           |         |    p1431 | Chicago (A) White... | +++
CF Hernandez, B    24|  79/ 94      86/ 77 -14/  0 | 102 ( 93) | -2---763 |  + | CF,OF,H       |  5           |         |    p1832 | Chicago (A) White... | ++++
CF Corujo, S       22|  79/ 90      82/ 79 -14/ -4 | 100 ( 91) | -2---879 |  + | CF,OF,H       | F6           |         | RF p2038 | Chicago (A) White... | +++-
SP Kime, D         34|  98/ 97      91/102  -5/  3 | 100 ( 91) |          | +  | SP,P          | F      $3M   |         | MR p4330 | Chicago (A) White... | *
CF Mestas, R       28|  93/ 93      88/ 94   0/ -1 |  99 ( 90) | -2---646 |  + | CF,OF,H       |              | $673.2k | RF p1228 | Chicago (A) White... | *
SS Deblois, M      22|  81/ 89      88/ 80 -12/ -3 |  98 ( 89) | -37-5--- |    | SS,IF,H       |  T   $500k r |         | 2B p2090 | Chicago (A) White... | +++
SP Valderrama, J   25|  83/ 90      84/ 82 -20/ -4 |  96 ( 87) |          |    | SP,P          |  3           |         |    p1845 | Chicago (A) White... | ++++-
SP Noel, M         20|  62/ 83/ 82  59/ 63 -41/-12 |  95 ( 86) |          | ++ | SP,P          |  4           |         |    p2957 | Chicago (A) White... | ++++
CF Ibañez, S       21|  69/ 84      69/ 69 -24/-10 |  95 ( 86) | -2---363 |  + | CF,OF,H       |              |         |    p2597 | Chicago (A) White... | +++
LF Christenson, R  24|  75/ 87      76/ 75 -18/ -7 |  95 ( 86) | -2---5-4 |  + | OF,H          |              |         |    p1460 | Chicago (A) White... | ++
DH Liggett, E      23|  80/ 86      71/ 82 -13/ -8 |  94 ( 86) | -3------ | +- | H             |              |         | SS p2444 | Chicago (A) White... | ++
3B Marquardt, R    26|  83/ 87      88/ 83 -10/ -5 |  94 ( 86) | -357---- |  + | IF,H          |              |         |    p1081 | Chicago (A) White... | *
CF Borowski, M     20|  70/ 81      72/ 69 -23/-11 |  93 ( 85) | -356--6- |  + | CF,IF,OF,H    |              |         | 3B  p447 | Chicago (A) White... | ++-
CF Poulos, G       23|  69/ 87/ 86  61/ 71 -24/ -8 |  93 ( 85) | -2---262 | -  | CF,OF,H       |              |         |    p3386 | Chicago (A) White... | +++
SP Cooney, T       35| 100/ 96      98/100  -3/  2 |  93 ( 85) |          |  - | SP,P          | F      $6M   |         |    p4684 | Chicago (A) White... | *
SP Seiter, K       20|  58/ 85/ 82  57/ 58 -45/-12 |  92 ( 84) |          |  - | SP,P          |  8           |         |    p1164 | Chicago (A) White... | +++
1B Spano, M        23|  72/ 84      66/ 74 -21/-10 |  92 ( 84) | -3------ | -+ | H             |              |         |    p1442 | Chicago (A) White... | ++-
SS Avila, V        19|  58/ 78/ 77  58/ 58 -35/-15 |  91 ( 83) | -3--624- | ++ | SS,CF,IF,OF,H |              |         |      p88 | Chicago (A) White... | ++
RF Perez, C        20|  60/ 84/ 82  55/ 61 -33/-12 |  91 ( 83) | -2---6-7 | -- | OF,H          |              |         |    p2203 | Chicago (A) White... | +++
CF Tuggle, S       21|  65/ 82/ 81  57/ 67 -28/-13 |  91 ( 83) | -2---998 |    | CF,OF,H       |              |         |    p1714 | Chicago (A) White... | +++
SP Charbonneau, C  27|  90/ 90      89/ 90 -13/ -4 |  91 ( 83) |          |  - | SP,P          |      $550k a |         | MR p2201 | Chicago (A) White... | *
LF Rubio, B        18|  57/ 78/ 76  52/ 57 -36/-18 |  90 ( 82) | -2---5-2 |  + | OF,H          |              |         |    p1697 | Chicago (A) White... | +-
3B Papenfuss, B    19|  66/ 79      65/ 66 -27/-13 |  90 ( 82) | -9-9---- |  - | IF,H          |              |         |    p1673 | Chicago (A) White... | ++-
SP Patao, J        19|  53/ 81/ 78  53/ 53 -50/-16 |  90 ( 82) |          | +- | SP,P          |  7           |         |    p2302 | Chicago (A) White... | +++-
CF Kenney, A       22|  64/ 80/ 79  66/ 64 -29/-15 |  89 ( 81) | -2---767 |  + | CF,OF,H       |              |         |     p834 | Chicago (A) White... | +-
CF Reyes, J        23|  71/ 80      71/ 72 -22/-14 |  89 ( 81) | -2---276 |  + | CF,OF,H       |              |         | RF p3340 | Chicago (A) White... | ++
MR Saladino, B     33|  86/ 86     101/ 99  -3/  4 |  89 ( 81) |          |  - | MR,P          |      $1.6Mx3 |         |     p683 | Chicago (A) White... | **^
2B Noritoshi, J    19|  66/ 77      72/ 65 -27/-15 |  88 ( 80) | -26----- |  - | IF,H          |              |         |    p2730 | Chicago (A) White... | ++-
DH Kyuso, J        20|  53/ 77/ 75  46/ 54 -40/-19 |  88 ( 80) | -1------ | ++ | H             |              |         | 2B p2588 | Chicago (A) White... | +
SS Navarro, E      19|  63/ 76      65/ 62 -30/-16 |  87 ( 79) | -3655--- |  - | SS,IF,H       |              |         | 2B p2702 | Chicago (A) White... | +
 C Trower, D       21|  63/ 76      64/ 63 -16/ -3 |  87 ( 79) | 5------- |  + | C,H           |              |         |    p3112 | Chicago (A) White... | +
3B Lavery, J       20|  63/ 74      63/ 62 -30/-18 |  86 ( 78) | -3-6---- |  + | IF,H          |              |         |     p252 | Chicago (A) White... | ++
2B Rodriguez, G    20|  56/ 78/ 76  56/ 56 -37/-16 |  86 ( 78) | -35----- |  - | IF,H          |              |         |     p412 | Chicago (A) White... | ++
MR Campos, J       21|  57/ 77/ 76  61/ 69 -35/ -7 |  86 ( 78) |          |    | MR,P          |              |         |    p1548 | Chicago (A) White... | +++++
 C Gardner, D      21|  62/ 77/ 76  68/ 61 -17/ -3 |  86 ( 78) | 7------- | -+ | C,H           |              |         |    p2875 | Chicago (A) White... | ++

**Cleveland Ind...** |     OVR      vL/vR   vRpl   |           |          | XC | 
SS Seferina, D     23| 105/117     110/104  12/ 25 | 149 (136) | -8676--- |  - | SS,IF,H       |  1   $500k r |  $7.26M |     p823 | Cleveland Indians    | +++++
SP Urias, J        29| 116/116     120/114  13/ 22 | 143 (130) |          |  + | SP,P          | F     $15M   |  $7.81M |    p4604 | *CEI* Cleveland I... | **^
SP Ballester, T    29| 115/115     115/116  12/ 21 | 140 (127) |          | -+ | SP,P          |     $1.61M a |  $7.26M |     p803 | Cleveland Indians    | **
SS Calixte, O      34| 109/108     109/109  16/ 16 | 125 (114) | -4999--- |  + | SS,IF,H       |     $6.73Mx4 |  $9.46M |    p2175 | Cleveland Indians    | ***
CF Clarke, C       34| 108/107     104/108  15/ 13 | 123 (112) | -2---387 |  + | CF,OF,H       |     $5.22Mx3 |  $8.91M |    p3760 | Cleveland Indians    | **^
3B Dozier, H       34| 106/105     104/106  13/ 13 | 119 (108) | -856-3-3 |  + | IF,OF,H       | F   $2.82M   |  $7.81M |    p4344 | Cleveland Indians    | **^
SP Kuntz, M        27| 103/103      96/106   0/  9 | 117 (106) |          |  - | SP,P          |    $588.6k a | $673.2k | MR p1980 | Cleveland Indians    | *^
1B Baril, J        21|  66/104/ 99  60/ 67 -27/  5 | 116 (106) | -4------ | ++ | H             |  2           |         |    p2246 | Cleveland Indians    | +++++
CF Castillo, R     32| 103/103      96/105  10/  9 | 115 (105) | -2---256 |  + | CF,OF,H       |       $10M a |  $6.16M | RF p4709 | Cleveland Indians    | **^
SP Mejia, A        32| 103/103     100/104   0/  9 | 114 (104) |          |  + | SP,P          |     $6.48Mx3 | $673.2k | MR p4680 | Cleveland Indians    | **^
3B Grant, R        23|  91/ 97      93/ 91  -2/  5 | 111 (101) | -366---- |  + | IF,H          |  4   $500k r |         | 2B  p972 | Cleveland Indians    | ++++
MR Sherman, L      34|  97/ 96     105/115   9/ 15 | 111 (101) |          |  + | MR,P          | F    $1.5M   |  $5.62M | CL p1328 | Cleveland Indians    | ***
 C O'Brien, P      35|  95/ 91      98/ 95  16/ 12 | 107 ( 97) | 61------ | -+ | C,H           |      $905k a |  $9.46M |    p3839 | Cleveland Indians    | **
1B Milano, W       20|  75/ 94/ 93  80/ 74 -18/ -1 | 105 ( 96) | -4------ |  + | H             |  8           |         |     p482 | Cleveland Indians    | +++-
1B Keeble, J       19|  81/ 91      89/ 80 -12/ -3 | 104 ( 95) | -3------ |  + | H             |  3           |         |    p1394 | Cleveland Indians    | ++++
SS Ordonez, K      23|  77/ 93      76/ 77 -16/  1 | 103 ( 94) | -3--9--- |  + | SS,IF,H       |  9           |         |    p1268 | Cleveland Indians    | +++-
CF Dunston Jr., S  33|  98/ 98     105/ 97   5/  4 | 102 ( 93) | -2---856 |  - | CF,OF,H       |     $5.45Mx4 |  $3.42M |    p3908 | Cleveland Indians    | **^
SP Aiken, B        25|  91/ 94      89/ 93 -12/  0 | 101 ( 92) |          |  + | SP,P          |              |         | MR p2760 | Cleveland Indians    | *
SP Nebeker, V      25|  92/ 94      83/ 97 -11/  0 | 101 ( 92) |          |  + | SP,P          |  6           |         | MR  p900 | Cleveland Indians    | +++++
CF Glenn, L        22|  84/ 92      76/ 86  -9/ -2 | 100 ( 91) | -2---763 | -  | CF,OF,H       |              |         |    p3115 | Cleveland Indians    | +++
1B Olson, M        32|  96/ 96     100/ 95   3/  2 | 100 ( 91) | -6------ |    | H             | F   $1.83M   |  $2.32M |    p4186 | Cleveland Indians    | **^
1B Proulx, C       21|  76/ 90      66/ 77 -17/ -4 |  99 ( 90) | -3------ |  - | H             |              |         |    p2044 | Cleveland Indians    | +++
RF Charity, D      22|  74/ 91/ 90  80/ 72 -19/ -4 |  99 ( 90) | -1---4-4 | +- | OF,H          |              |         | LF  p928 | Cleveland Indians    | +++
1B Higbee, C       22|  63/ 94/ 91  68/ 62 -30/ -3 |  99 ( 90) | -4------ |  - | H             |  7           |         |    p3092 | Cleveland Indians    | +++-
3B Redondo, B      27|  92/ 92      96/ 92  -1/  0 |  99 ( 90) | -3-6---- |  + | IF,H          | F            | $673.2k |    p2635 | Cleveland Indians    | *
3B Albano, H       18|  67/ 85/ 84  68/ 67 -26/ -8 |  98 ( 89) | -6-6---- |  + | IF,H          |              |         |    p1285 | Cleveland Indians    | +++
MR Herrera, M      36|  97/ 89     115/110   9/  7 |  98 ( 89) |          |  + | MR,P          | F   $5.35M   |  $5.62M |    p3712 | Cleveland Indians    | **^
LF Bandez, L       33|  94/ 94      95/ 94   1/  0 |  97 ( 88) | -1---2-- | ++ | OF,H          |              |  $1.22M |     p148 | Cleveland Indians    | *^
 C Dominguez, C    23|  76/ 83      76/ 76  -3/  4 |  96 ( 87) | 5------- |  + | C,H           | F            |         |    p1205 | Cleveland Indians    | ++
 C Spaulding, C    25|  74/ 84      76/ 74  -5/  5 |  96 ( 87) | 71------ | +  | C,H           | F            |         |    p2563 | Cleveland Indians    | ++
SP Bostick, A      30|  93/ 93      98/ 91 -10/ -1 |  96 ( 87) |          |  + | SP,P          |     $1.39Mx2 |         | MR p4426 | Cleveland Indians    | **^
